idade,bairro,produto,descricao,marca,estado,pontuacao
65,Jd Primavera,ap de som,ducimus,Electrolux,defeito,24
44,Centro,computador,recusandae,Brastemp,funciona,110
40,Jd Primavera,freezer,expedita,Brastemp,defeito,120
65,Campolim,TV,fugiat,Brastemp,defeito,90
23,Campolim,Fogão,incidunt,Samsung,funciona,50
55,Pacaembu,ap de som,voluptatibus,LG,funciona,40
46,Campolim,ap de som,et,Gradiente,funciona,40
46,Campolim,ap de som,ea,Brastemp,funciona,40
56,Pacaembu,TV,tenetur,Electrolux,defeito,90
37,Pacaembu,Fogão,ratione,Electrolux,defeito,30
42,Pacaembu,freezer,accusamus,LG,funciona,200
44,Centro,Fogão,doloribus,Samsung,funciona,50
56,Vossoroca,ap de som,recusandae,LG,defeito,24
68,Pacaembu,TV,debitis,LG,defeito,90
25,Pacaembu,ap de som,totam,Gradiente,defeito,24
38,Centro,freezer,harum,Gradiente,funciona,200
61,Pacaembu,computador,autem,Gradiente,funciona,110
38,Vossoroca,micro-ondas,labore,Electrolux,defeito,60
68,Jd Primavera,computador,nobis,Brastemp,funciona,110
23,Jd Primavera,Fogão,quis,Electrolux,defeito,30
67,Campolim,TV,quam,LG,funciona,150
59,Campolim,Fogão,magnam,LG,defeito,30
27,Vossoroca,micro-ondas,odio,Samsung,funciona,100
38,Vossoroca,ap de som,error,LG,funciona,40
67,Vossoroca,Fogão,repellendus,LG,funciona,50
33,Jd Primavera,Fogão,eius,LG,defeito,30
55,Centro,TV,ex,Samsung,funciona,150
34,Campolim,ap de som,alias,Gradiente,funciona,40
18,Pacaembu,computador,voluptatum,Samsung,defeito,66
45,Campolim,computador,eum,Brastemp,funciona,110
42,Pacaembu,micro-ondas,perferendis,Samsung,defeito,60
18,Jd Primavera,Fogão,sapiente,Brastemp,funciona,50
43,Centro,freezer,odio,Gradiente,funciona,200
53,Vossoroca,TV,dolor,Brastemp,defeito,90
32,Pacaembu,micro-ondas,magni,Electrolux,defeito,60
47,Campolim,Fogão,architecto,Brastemp,funciona,50
38,Pacaembu,micro-ondas,quidem,Electrolux,defeito,60
28,Centro,freezer,nihil,LG,funciona,200
24,Pacaembu,computador,inventore,Gradiente,defeito,66
29,Centro,Fogão,rem,Brastemp,funciona,50
52,Jd Primavera,computador,deleniti,Gradiente,funciona,110
64,Centro,micro-ondas,deleniti,Electrolux,funciona,100
25,Vossoroca,ap de som,adipisci,Brastemp,defeito,24
55,Jd Primavera,freezer,voluptatem,Gradiente,defeito,120
54,Vossoroca,computador,tempore,Samsung,funciona,110
19,Campolim,micro-ondas,tempore,Gradiente,defeito,60
45,Campolim,computador,voluptate,Gradiente,funciona,110
19,Vossoroca,computador,iusto,LG,defeito,66
49,Vossoroca,TV,eligendi,Brastemp,defeito,90
42,Vossoroca,computador,inventore,LG,funciona,110
39,Campolim,computador,provident,LG,funciona,110
46,Centro,computador,veniam,Electrolux,funciona,110
42,Pacaembu,computador,et,LG,funciona,110
70,Campolim,ap de som,architecto,Samsung,funciona,40
43,Campolim,TV,laudantium,Samsung,funciona,150
29,Vossoroca,ap de som,vel,Gradiente,defeito,24
64,Campolim,micro-ondas,libero,LG,funciona,100
28,Jd Primavera,ap de som,nostrum,Brastemp,funciona,40
52,Campolim,ap de som,laborum,Brastemp,defeito,24
64,Centro,micro-ondas,atque,Brastemp,defeito,60
23,Campolim,ap de som,commodi,LG,defeito,24
20,Vossoroca,TV,iste,Gradiente,defeito,90
28,Campolim,TV,quos,Brastemp,funciona,150
26,Jd Primavera,ap de som,atque,LG,funciona,40
55,Vossoroca,computador,soluta,Brastemp,funciona,110
67,Campolim,ap de som,libero,Electrolux,funciona,40
59,Campolim,freezer,dicta,Gradiente,defeito,120
52,Centro,TV,perspiciatis,Samsung,funciona,150
28,Campolim,micro-ondas,mollitia,Electrolux,funciona,100
24,Jd Primavera,micro-ondas,vel,Samsung,funciona,100
58,Pacaembu,ap de som,voluptatum,Samsung,funciona,40
66,Centro,freezer,similique,Samsung,defeito,120
20,Jd Primavera,Fogão,expedita,Electrolux,defeito,30
68,Pacaembu,micro-ondas,molestiae,Gradiente,defeito,60
60,Pacaembu,TV,officia,Gradiente,defeito,90
23,Jd Primavera,Fogão,ad,LG,defeito,30
24,Pacaembu,ap de som,sunt,Brastemp,defeito,24
31,Centro,micro-ondas,illo,Brastemp,funciona,100
59,Campolim,freezer,vel,Samsung,defeito,120
34,Pacaembu,Fogão,perferendis,Gradiente,defeito,30
26,Vossoroca,micro-ondas,magnam,Electrolux,defeito,60
35,Jd Primavera,ap de som,laborum,Brastemp,funciona,40
49,Centro,freezer,voluptatem,LG,defeito,120
39,Pacaembu,ap de som,accusantium,Brastemp,funciona,40
40,Pacaembu,ap de som,dolorum,Brastemp,funciona,40
64,Centro,micro-ondas,velit,Brastemp,defeito,60
32,Campolim,freezer,sunt,Brastemp,defeito,120
40,Vossoroca,ap de som,facere,Gradiente,funciona,40
29,Vossoroca,Fogão,molestiae,Gradiente,defeito,30
45,Centro,ap de som,maiores,Brastemp,funciona,40
37,Jd Primavera,freezer,expedita,Samsung,funciona,200
43,Jd Primavera,micro-ondas,id,Gradiente,defeito,60
70,Centro,computador,harum,LG,funciona,110
49,Centro,TV,assumenda,Samsung,defeito,90
24,Centro,Fogão,tempora,Brastemp,defeito,30
60,Campolim,ap de som,labore,Gradiente,funciona,40
43,Pacaembu,TV,iste,Electrolux,defeito,90
30,Centro,ap de som,distinctio,Electrolux,funciona,40
46,Jd Primavera,TV,beatae,Brastemp,funciona,150
60,Pacaembu,computador,atque,Electrolux,funciona,110
44,Centro,freezer,placeat,Gradiente,funciona,200
23,Jd Primavera,Fogão,recusandae,LG,defeito,30
61,Vossoroca,Fogão,voluptas,Electrolux,funciona,50
28,Campolim,computador,distinctio,Brastemp,defeito,66
39,Centro,Fogão,minus,Brastemp,funciona,50
40,Campolim,freezer,ipsa,Gradiente,funciona,200
24,Centro,freezer,hic,Samsung,defeito,120
19,Jd Primavera,ap de som,facilis,Brastemp,funciona,40
51,Jd Primavera,computador,earum,Samsung,defeito,66
40,Campolim,Fogão,magnam,Brastemp,funciona,50
39,Jd Primavera,TV,reprehenderit,Brastemp,funciona,150
60,Centro,freezer,asperiores,Brastemp,defeito,120
52,Vossoroca,ap de som,laudantium,LG,funciona,40
63,Vossoroca,Fogão,doloremque,Samsung,defeito,30
46,Vossoroca,freezer,et,Electrolux,defeito,120
48,Vossoroca,Fogão,ullam,Samsung,defeito,30
28,Pacaembu,ap de som,reiciendis,Gradiente,defeito,24
60,Centro,micro-ondas,quae,LG,funciona,100
54,Centro,micro-ondas,quidem,Samsung,defeito,60
49,Jd Primavera,freezer,accusantium,LG,defeito,120
53,Centro,ap de som,velit,Electrolux,funciona,40
58,Pacaembu,TV,beatae,Electrolux,funciona,150
55,Pacaembu,TV,mollitia,Samsung,funciona,150
36,Vossoroca,freezer,distinctio,Brastemp,defeito,120
50,Pacaembu,Fogão,a,LG,funciona,50
20,Jd Primavera,freezer,natus,Brastemp,funciona,200
41,Pacaembu,computador,officiis,Gradiente,funciona,110
47,Campolim,TV,placeat,Gradiente,defeito,90
70,Jd Primavera,TV,eligendi,Samsung,defeito,90
56,Campolim,computador,aut,Gradiente,funciona,110
47,Vossoroca,freezer,vel,Gradiente,defeito,120
22,Campolim,Fogão,vel,LG,defeito,30
46,Jd Primavera,computador,neque,LG,defeito,66
68,Centro,TV,quibusdam,LG,defeito,90
57,Jd Primavera,micro-ondas,nemo,Gradiente,defeito,60
37,Campolim,Fogão,non,LG,funciona,50
57,Centro,ap de som,dignissimos,Gradiente,defeito,24
69,Centro,freezer,culpa,Electrolux,defeito,120
65,Vossoroca,Fogão,debitis,Gradiente,defeito,30
39,Centro,Fogão,voluptas,LG,defeito,30
23,Vossoroca,Fogão,possimus,Electrolux,funciona,50
63,Campolim,Fogão,velit,Electrolux,defeito,30
48,Campolim,micro-ondas,enim,Brastemp,defeito,60
56,Jd Primavera,Fogão,eaque,Electrolux,funciona,50
38,Pacaembu,micro-ondas,nobis,Gradiente,defeito,60
62,Vossoroca,micro-ondas,unde,Samsung,defeito,60
18,Pacaembu,freezer,tempore,Brastemp,defeito,120
51,Jd Primavera,computador,mollitia,Brastemp,funciona,110
22,Jd Primavera,ap de som,placeat,Electrolux,defeito,24
40,Vossoroca,computador,officia,Gradiente,defeito,66
62,Pacaembu,freezer,molestias,Electrolux,defeito,120
36,Pacaembu,ap de som,laborum,Gradiente,funciona,40
46,Centro,Fogão,velit,LG,defeito,30
65,Campolim,computador,aliquid,LG,defeito,66
56,Pacaembu,freezer,quae,Electrolux,funciona,200
25,Pacaembu,computador,eligendi,Samsung,funciona,110
41,Vossoroca,ap de som,blanditiis,Gradiente,defeito,24
40,Campolim,freezer,expedita,Brastemp,defeito,120
64,Jd Primavera,TV,similique,Gradiente,defeito,90
63,Centro,computador,ex,LG,defeito,66
34,Campolim,Fogão,iste,Electrolux,funciona,50
68,Jd Primavera,micro-ondas,necessitatibus,Gradiente,funciona,100
27,Vossoroca,micro-ondas,consequatur,Brastemp,funciona,100
35,Centro,micro-ondas,adipisci,Gradiente,funciona,100
26,Vossoroca,ap de som,unde,Samsung,defeito,24
70,Centro,ap de som,deleniti,LG,defeito,24
21,Pacaembu,Fogão,mollitia,Gradiente,defeito,30
45,Pacaembu,freezer,doloribus,Samsung,funciona,200
33,Jd Primavera,TV,atque,Gradiente,funciona,150
18,Campolim,TV,atque,Samsung,defeito,90
28,Campolim,freezer,qui,Brastemp,defeito,120
46,Campolim,computador,ea,Electrolux,defeito,66
27,Campolim,Fogão,dolores,Gradiente,defeito,30
37,Vossoroca,micro-ondas,saepe,Gradiente,funciona,100
40,Pacaembu,Fogão,corrupti,LG,defeito,30
20,Vossoroca,micro-ondas,aperiam,Samsung,defeito,60
29,Vossoroca,micro-ondas,nulla,Electrolux,defeito,60
48,Campolim,freezer,debitis,Gradiente,funciona,200
21,Jd Primavera,ap de som,accusamus,Brastemp,funciona,40
46,Vossoroca,Fogão,voluptates,Electrolux,defeito,30
67,Centro,TV,pariatur,Brastemp,defeito,90
23,Pacaembu,ap de som,reprehenderit,LG,funciona,40
31,Jd Primavera,micro-ondas,ducimus,LG,defeito,60
37,Jd Primavera,micro-ondas,voluptates,Electrolux,defeito,60
31,Pacaembu,freezer,cupiditate,Brastemp,defeito,120
63,Pacaembu,freezer,reiciendis,Brastemp,funciona,200
22,Centro,micro-ondas,repudiandae,Electrolux,funciona,100
46,Vossoroca,computador,tenetur,Brastemp,funciona,110
32,Vossoroca,micro-ondas,velit,LG,defeito,60
27,Vossoroca,micro-ondas,odit,Brastemp,funciona,100
26,Vossoroca,micro-ondas,dignissimos,Brastemp,funciona,100
36,Jd Primavera,Fogão,asperiores,Electrolux,funciona,50
63,Pacaembu,TV,eos,LG,funciona,150
38,Pacaembu,ap de som,perspiciatis,LG,defeito,24
54,Centro,micro-ondas,rem,Electrolux,funciona,100
18,Pacaembu,TV,aperiam,Gradiente,funciona,150
66,Jd Primavera,computador,accusamus,Electrolux,funciona,110
63,Vossoroca,computador,ipsa,Gradiente,defeito,66
70,Vossoroca,micro-ondas,quo,Brastemp,defeito,60
45,Centro,Fogão,molestias,Electrolux,defeito,30
69,Vossoroca,Fogão,eos,Samsung,defeito,30
69,Pacaembu,freezer,voluptatibus,Gradiente,defeito,120
61,Pacaembu,ap de som,ut,Brastemp,funciona,40
38,Jd Primavera,TV,corrupti,Brastemp,defeito,90
28,Pacaembu,freezer,blanditiis,Electrolux,defeito,120
55,Centro,Fogão,sapiente,Samsung,defeito,30
26,Pacaembu,computador,atque,Samsung,funciona,110
57,Centro,computador,ullam,LG,funciona,110
59,Pacaembu,freezer,totam,Gradiente,funciona,200
54,Jd Primavera,Fogão,impedit,Samsung,funciona,50
23,Vossoroca,freezer,dicta,Electrolux,funciona,200
34,Pacaembu,Fogão,perspiciatis,Brastemp,defeito,30
34,Campolim,freezer,deleniti,LG,funciona,200
63,Jd Primavera,TV,nulla,Brastemp,defeito,90
65,Pacaembu,TV,enim,Electrolux,defeito,90
31,Centro,freezer,amet,Samsung,funciona,200
64,Centro,freezer,in,Brastemp,defeito,120
60,Campolim,micro-ondas,illo,Electrolux,funciona,100
35,Centro,computador,officia,LG,funciona,110
24,Centro,computador,rerum,Samsung,defeito,66
53,Pacaembu,computador,quod,Electrolux,funciona,110
33,Pacaembu,freezer,debitis,Samsung,defeito,120
23,Vossoroca,TV,veniam,Samsung,defeito,90
38,Pacaembu,computador,libero,Brastemp,defeito,66
21,Campolim,computador,hic,Brastemp,defeito,66
27,Centro,computador,facere,Electrolux,defeito,66
30,Campolim,Fogão,perspiciatis,LG,funciona,50
35,Vossoroca,Fogão,id,Brastemp,defeito,30
62,Campolim,computador,labore,Gradiente,funciona,110
61,Campolim,computador,ullam,Electrolux,funciona,110
60,Centro,Fogão,ducimus,Samsung,defeito,30
61,Pacaembu,micro-ondas,amet,Electrolux,funciona,100
66,Jd Primavera,TV,laudantium,Brastemp,defeito,90
67,Campolim,TV,ullam,Gradiente,defeito,90
63,Campolim,freezer,repellat,Gradiente,funciona,200
22,Vossoroca,freezer,distinctio,Electrolux,defeito,120
39,Centro,ap de som,iure,Gradiente,defeito,24
63,Pacaembu,freezer,sequi,LG,defeito,120
65,Vossoroca,computador,deserunt,Gradiente,defeito,66
43,Jd Primavera,computador,dolore,Brastemp,defeito,66
36,Centro,computador,reiciendis,Samsung,defeito,66
33,Centro,freezer,aliquam,Electrolux,funciona,200
61,Centro,TV,architecto,Samsung,funciona,150
62,Centro,computador,eveniet,Brastemp,funciona,110
25,Pacaembu,Fogão,ratione,Gradiente,defeito,30
60,Centro,micro-ondas,hic,Gradiente,defeito,60
27,Pacaembu,freezer,quae,Brastemp,defeito,120
68,Jd Primavera,freezer,iure,Brastemp,defeito,120
70,Jd Primavera,TV,dolore,Gradiente,defeito,90
51,Jd Primavera,TV,quaerat,Samsung,defeito,90
46,Centro,ap de som,voluptas,Brastemp,funciona,40
18,Centro,ap de som,alias,Electrolux,funciona,40
63,Campolim,TV,maxime,Gradiente,defeito,90
35,Vossoroca,ap de som,molestias,Samsung,defeito,24
46,Jd Primavera,computador,repellendus,Electrolux,defeito,66
46,Centro,TV,recusandae,LG,defeito,90
38,Jd Primavera,freezer,officiis,LG,funciona,200
48,Vossoroca,freezer,magni,Samsung,funciona,200
44,Centro,ap de som,amet,Electrolux,funciona,40
34,Pacaembu,ap de som,iure,Brastemp,defeito,24
52,Pacaembu,TV,ducimus,LG,defeito,90
30,Campolim,micro-ondas,numquam,LG,funciona,100
46,Campolim,ap de som,aspernatur,Gradiente,defeito,24
48,Vossoroca,TV,et,Electrolux,defeito,90
32,Pacaembu,Fogão,nisi,Samsung,funciona,50
45,Pacaembu,TV,sed,Gradiente,funciona,150
52,Centro,TV,cumque,Brastemp,funciona,150
44,Pacaembu,Fogão,nulla,Samsung,defeito,30
20,Campolim,freezer,dolor,Gradiente,defeito,120
46,Centro,freezer,deleniti,LG,funciona,200
21,Vossoroca,TV,a,Brastemp,funciona,150
19,Campolim,micro-ondas,impedit,Brastemp,defeito,60
47,Jd Primavera,freezer,iure,LG,funciona,200
59,Vossoroca,ap de som,rem,Samsung,funciona,40
48,Vossoroca,ap de som,facilis,Electrolux,funciona,40
60,Jd Primavera,ap de som,dicta,LG,funciona,40
67,Pacaembu,Fogão,rerum,Samsung,funciona,50
41,Pacaembu,freezer,deleniti,Electrolux,defeito,120
44,Jd Primavera,ap de som,occaecati,Samsung,funciona,40
61,Campolim,computador,maiores,Electrolux,funciona,110
70,Vossoroca,micro-ondas,error,Gradiente,funciona,100
41,Centro,ap de som,dicta,Samsung,funciona,40
62,Centro,Fogão,provident,LG,funciona,50
33,Jd Primavera,ap de som,quia,Electrolux,funciona,40
67,Vossoroca,computador,perferendis,Electrolux,defeito,66
63,Vossoroca,Fogão,excepturi,LG,funciona,50
66,Vossoroca,micro-ondas,architecto,Samsung,funciona,100
25,Centro,Fogão,dolorum,Gradiente,defeito,30
24,Pacaembu,freezer,laborum,LG,funciona,200
54,Campolim,computador,nam,Samsung,funciona,110
36,Pacaembu,ap de som,nesciunt,Samsung,defeito,24
29,Pacaembu,micro-ondas,velit,Electrolux,funciona,100
47,Pacaembu,TV,saepe,Gradiente,defeito,90
49,Jd Primavera,computador,officiis,Brastemp,funciona,110
23,Campolim,ap de som,doloribus,Samsung,defeito,24
24,Vossoroca,micro-ondas,sint,Brastemp,funciona,100
66,Campolim,ap de som,quidem,Samsung,defeito,24
28,Pacaembu,Fogão,provident,Electrolux,funciona,50
21,Centro,TV,doloribus,Gradiente,defeito,90
21,Jd Primavera,computador,repellat,Electrolux,defeito,66
69,Pacaembu,Fogão,ab,LG,defeito,30
69,Jd Primavera,freezer,repellat,Electrolux,funciona,200
58,Jd Primavera,Fogão,eveniet,Electrolux,defeito,30
18,Pacaembu,ap de som,id,Samsung,defeito,24
37,Jd Primavera,micro-ondas,quisquam,LG,defeito,60
22,Jd Primavera,computador,ipsa,Electrolux,defeito,66
50,Pacaembu,micro-ondas,cupiditate,Gradiente,defeito,60
51,Vossoroca,freezer,magni,Gradiente,defeito,120
37,Centro,ap de som,doloremque,LG,defeito,24
19,Campolim,freezer,eveniet,LG,funciona,200
23,Campolim,TV,odio,Brastemp,funciona,150
21,Pacaembu,Fogão,enim,Brastemp,funciona,50
57,Vossoroca,freezer,sed,Gradiente,defeito,120
61,Campolim,TV,exercitationem,Brastemp,funciona,150
40,Pacaembu,micro-ondas,sequi,LG,funciona,100
28,Vossoroca,ap de som,voluptate,Gradiente,defeito,24
51,Centro,TV,cumque,Brastemp,defeito,90
36,Vossoroca,ap de som,doloremque,LG,funciona,40
69,Vossoroca,ap de som,consequuntur,LG,funciona,40
47,Pacaembu,computador,cum,Gradiente,funciona,110
52,Pacaembu,ap de som,quae,Gradiente,funciona,40
38,Campolim,Fogão,ea,Electrolux,defeito,30
61,Pacaembu,ap de som,animi,Brastemp,defeito,24
45,Vossoroca,ap de som,enim,Brastemp,defeito,24
35,Pacaembu,micro-ondas,cum,LG,defeito,60
62,Campolim,Fogão,voluptate,Samsung,funciona,50
42,Pacaembu,freezer,aspernatur,Electrolux,funciona,200
23,Centro,freezer,dolor,Samsung,defeito,120
51,Centro,computador,repellendus,Samsung,defeito,66
34,Campolim,TV,non,Brastemp,defeito,90
59,Centro,ap de som,reprehenderit,Gradiente,defeito,24
37,Pacaembu,micro-ondas,consequatur,Samsung,funciona,100
25,Jd Primavera,freezer,suscipit,Gradiente,defeito,120
24,Vossoroca,micro-ondas,sit,Gradiente,defeito,60
40,Campolim,computador,veritatis,Brastemp,funciona,110
25,Campolim,micro-ondas,commodi,LG,defeito,60
67,Campolim,ap de som,quaerat,Gradiente,defeito,24
31,Pacaembu,micro-ondas,minima,Gradiente,defeito,60
36,Vossoroca,computador,excepturi,Brastemp,defeito,66
24,Vossoroca,computador,minus,LG,defeito,66
39,Jd Primavera,Fogão,perferendis,Gradiente,funciona,50
50,Jd Primavera,ap de som,debitis,Gradiente,funciona,40
37,Jd Primavera,freezer,vero,Electrolux,defeito,120
62,Vossoroca,micro-ondas,eum,Samsung,funciona,100
63,Pacaembu,freezer,praesentium,LG,funciona,200
20,Pacaembu,Fogão,dolores,Electrolux,funciona,50
37,Centro,ap de som,suscipit,Electrolux,defeito,24
57,Pacaembu,Fogão,repudiandae,LG,funciona,50
65,Centro,Fogão,voluptas,Gradiente,funciona,50
54,Vossoroca,TV,reiciendis,Gradiente,funciona,150
50,Centro,ap de som,quia,Brastemp,funciona,40
39,Vossoroca,computador,enim,Electrolux,funciona,110
66,Vossoroca,TV,sed,Samsung,defeito,90
27,Pacaembu,computador,rem,Samsung,defeito,66
21,Jd Primavera,ap de som,nesciunt,Brastemp,defeito,24
43,Pacaembu,micro-ondas,impedit,Brastemp,funciona,100
34,Centro,freezer,quam,LG,funciona,200
54,Vossoroca,TV,fugiat,Electrolux,funciona,150
63,Vossoroca,ap de som,voluptatibus,LG,funciona,40
61,Pacaembu,Fogão,blanditiis,Gradiente,defeito,30
67,Centro,freezer,illum,Gradiente,defeito,120
43,Vossoroca,TV,maiores,Brastemp,defeito,90
45,Vossoroca,micro-ondas,delectus,LG,defeito,60
18,Vossoroca,freezer,quos,Brastemp,defeito,120
23,Centro,TV,ea,Samsung,funciona,150
70,Vossoroca,freezer,perferendis,Electrolux,defeito,120
58,Vossoroca,micro-ondas,quibusdam,Gradiente,funciona,100
33,Centro,micro-ondas,excepturi,LG,funciona,100
59,Jd Primavera,TV,cumque,Brastemp,defeito,90
37,Campolim,Fogão,at,Gradiente,defeito,30
58,Vossoroca,freezer,omnis,Gradiente,funciona,200
18,Pacaembu,TV,id,Gradiente,defeito,90
38,Centro,ap de som,explicabo,Brastemp,defeito,24
44,Centro,freezer,doloribus,Gradiente,funciona,200
70,Jd Primavera,Fogão,occaecati,Gradiente,defeito,30
27,Jd Primavera,freezer,et,Samsung,funciona,200
60,Vossoroca,Fogão,itaque,Brastemp,funciona,50
20,Campolim,ap de som,a,Samsung,funciona,40
45,Jd Primavera,Fogão,ratione,Electrolux,defeito,30
31,Campolim,TV,eveniet,Samsung,funciona,150
51,Jd Primavera,micro-ondas,blanditiis,Samsung,funciona,100
57,Centro,computador,ducimus,Brastemp,defeito,66
20,Pacaembu,ap de som,neque,LG,funciona,40
53,Vossoroca,micro-ondas,pariatur,Samsung,defeito,60
68,Campolim,Fogão,assumenda,Samsung,defeito,30
50,Centro,computador,voluptatem,LG,funciona,110
49,Pacaembu,ap de som,maxime,Electrolux,funciona,40
62,Pacaembu,micro-ondas,esse,Brastemp,defeito,60
66,Pacaembu,TV,temporibus,Gradiente,defeito,90
49,Centro,TV,molestiae,Electrolux,defeito,90
37,Campolim,freezer,odio,Gradiente,defeito,120
53,Pacaembu,computador,blanditiis,LG,defeito,66
56,Centro,micro-ondas,consectetur,Electrolux,defeito,60
44,Campolim,TV,ipsum,Electrolux,defeito,90
39,Campolim,freezer,velit,Gradiente,defeito,120
45,Campolim,computador,ipsum,LG,funciona,110
45,Jd Primavera,TV,voluptates,Samsung,defeito,90
64,Vossoroca,freezer,ea,Gradiente,defeito,120
65,Pacaembu,micro-ondas,voluptatibus,Gradiente,funciona,100
46,Vossoroca,ap de som,delectus,LG,funciona,40
27,Centro,micro-ondas,quam,Electrolux,defeito,60
53,Centro,computador,deleniti,Samsung,funciona,110
52,Centro,computador,maxime,Samsung,funciona,110
64,Vossoroca,TV,voluptatum,Brastemp,defeito,90
61,Vossoroca,freezer,at,Brastemp,funciona,200
30,Pacaembu,computador,error,Samsung,funciona,110
48,Jd Primavera,TV,odio,Gradiente,defeito,90
59,Jd Primavera,TV,porro,LG,funciona,150
61,Centro,freezer,veritatis,Electrolux,defeito,120
49,Centro,micro-ondas,ipsum,Gradiente,defeito,60
63,Pacaembu,TV,aut,Brastemp,funciona,150
38,Pacaembu,Fogão,ipsa,Electrolux,defeito,30
55,Pacaembu,TV,expedita,Samsung,funciona,150
65,Campolim,TV,eum,LG,defeito,90
64,Vossoroca,micro-ondas,voluptate,Brastemp,defeito,60
20,Centro,Fogão,praesentium,Samsung,defeito,30
23,Jd Primavera,TV,velit,Brastemp,defeito,90
47,Jd Primavera,computador,eum,Samsung,funciona,110
33,Pacaembu,freezer,atque,Samsung,funciona,200
55,Campolim,Fogão,quas,Electrolux,funciona,50
56,Centro,ap de som,deleniti,Brastemp,funciona,40
68,Jd Primavera,ap de som,consequuntur,Electrolux,funciona,40
67,Campolim,freezer,minus,Samsung,funciona,200
45,Jd Primavera,micro-ondas,placeat,Gradiente,funciona,100
29,Vossoroca,ap de som,sapiente,Gradiente,funciona,40
24,Jd Primavera,freezer,est,Electrolux,defeito,120
45,Campolim,micro-ondas,reiciendis,Electrolux,funciona,100
56,Pacaembu,Fogão,quia,LG,funciona,50
57,Jd Primavera,TV,amet,Electrolux,defeito,90
33,Campolim,ap de som,voluptatibus,Brastemp,defeito,24
65,Vossoroca,Fogão,animi,Brastemp,funciona,50
24,Jd Primavera,freezer,adipisci,LG,defeito,120
19,Jd Primavera,Fogão,repellendus,LG,funciona,50
31,Campolim,freezer,voluptate,Gradiente,funciona,200
30,Jd Primavera,freezer,commodi,Samsung,funciona,200
23,Pacaembu,computador,occaecati,Brastemp,funciona,110
51,Centro,micro-ondas,aliquid,LG,defeito,60
18,Vossoroca,computador,ex,Samsung,funciona,110
41,Jd Primavera,computador,facilis,LG,defeito,66
59,Vossoroca,computador,ex,Brastemp,defeito,66
67,Campolim,freezer,voluptates,Samsung,funciona,200
61,Jd Primavera,ap de som,a,Brastemp,funciona,40
33,Pacaembu,freezer,consectetur,Electrolux,defeito,120
53,Campolim,ap de som,doloribus,Brastemp,defeito,24
29,Campolim,freezer,laboriosam,LG,defeito,120
19,Vossoroca,Fogão,beatae,LG,defeito,30
25,Pacaembu,freezer,facere,Samsung,funciona,200
18,Centro,Fogão,repellendus,Electrolux,defeito,30
24,Pacaembu,freezer,sit,Samsung,defeito,120
51,Pacaembu,micro-ondas,eligendi,Electrolux,defeito,60
33,Pacaembu,freezer,dolorem,Electrolux,funciona,200
49,Centro,freezer,beatae,Samsung,funciona,200
19,Campolim,computador,neque,Samsung,funciona,110
20,Pacaembu,freezer,a,Gradiente,defeito,120
29,Vossoroca,ap de som,error,LG,funciona,40
